,observed_type,count,mean,std,min,q1,median,q3,max,mode,missing,unique,zero_fraction,iqr,skew,max_abs_z,iqr_outliers,corr_Label,mean_label_0,median_label_0,mean_label_1,median_label_1
EState_VSA10,float,597,13.5058,11.0155,0,4.795,10.002,19.49,58.719,0,0,122,0.140704,14.695,1.14513,4.1045,14,0.0877751,12.9511,9.901,15.1885,14.384
EState_VSA11,float,597,0.214616,1.22402,0,0,0,0,13.575,0,0,5,0.964824,0,6.60342,10.9151,21,-0.0576882,0.255122,0,0.0917297,0
EState_VSA2,float,597,15.9981,14.0823,0,5.907,12.146,24.361,96.781,0,0,334,0.175879,18.454,1.16234,5.73646,10,-0.0254627,16.2038,12.108,15.3741,12.187
EState_VSA3,float,597,15.3993,13.6803,0,5.563,12.463,23.731,106.949,0,0,291,0.197655,18.168,1.36553,6.69206,9,-0.0310946,15.6434,12.463,14.659,12.263
EState_VSA4,float,597,19.431,18.1403,0,5.563,16.69,30.637,117.806,0,0,284,0.226131,25.074,1.08106,5.423,9,-0.0977426,20.4481,17.534,16.3452,12.046
EState_VSA5,float,597,12.9496,14.363,0,0,7.11,19.373,121.996,0,0,209,0.291457,19.373,1.98499,7.5922,17,0.0274725,12.7232,7.11,13.6363,8.844
EState_VSA6,float,597,11.6861,13.8684,0,0,6.924,19.056,92.71,0,0,147,0.363484,19.056,1.71722,5.84232,16,0.00834631,11.6197,6.327,11.8876,6.924
EState_VSA7,float,597,16.4066,18.7074,0,0,12.133,26.228,93.698,0,0,144,0.336683,26.228,1.40075,4.13159,15,0.0625531,15.7353,10.634,18.4431,13.847
EState_VSA8,float,597,15.9887,16.9608,0,4.992,10.634,22.434,90.83,0,0,274,0.201005,17.442,1.58714,4.41262,38,-0.0641916,16.6132,10.634,14.0939,9.8395
EState_VSA9,float,597,10.4741,10.6194,0,4.737,5.843,15.569,69.606,0,0,148,0.211055,10.832,1.70315,5.56831,31,-0.0683489,10.8905,9.474,9.21098,5.734
ExactMolWt,float,597,364.892,148.515,31.006,266.163,352.225,435.997,979.426,82.053,0,570,0,169.834,0.8522,4.13785,24,-0.00629558,365.428,352.225,363.265,354.578
FractionCSP3,float,597,0.480771,0.259724,0,0.294,0.462,0.667,1,0.5,0,195,0.0335008,0.373,0.1754,1.99916,0,-0.131294,0.500332,0.5,0.421426,0.409
HallKierAlpha,float,597,-1.98563,1.11689,-7.06,-2.57,-1.85,-1.26,1.74,-2.41,0,279,0,1.31,-0.628683,4.54332,16,-0.108933,-1.91584,-1.8,-2.19736,-2.1
HeavyAtomCount,integer,597,25.3786,10.2521,2,19,25,31,67,25,0,56,0,12,0.756754,4.05981,20,0.0136232,25.2984,25,25.6216,25
HeavyAtomMolWt,float,597,341.542,139.336,30.006,249.04,330.234,411.323,914.661,320.215,0,507,0,162.283,0.86093,4.11322,24,-0.006467,342.059,330.234,339.974,337.25
Ipc,float,597,9.18793e+11,1.62035e+13,2,19617.5,411006,7.85877e+06,3.85e+14,1.50008e+06,0,554,0,7.83915e+06,22.6696,23.7035,105,-0.00714678,9.85223e+11,399576,7.17259e+11,441705
Kappa1,float,597,18.5792,7.92635,1.6,12.941,17.901,22.595,55.667,22.001,0,553,0,9.654,1.00662,4.67905,16,0.0148964,18.5115,17.779,18.7847,18.444
Kappa2,float,597,7.77335,3.95701,0.6,5.014,7.006,9.822,26.62,6.893,0,568,0,4.808,1.23754,4.76285,20,0.0192482,7.72966,7.013,7.90591,6.893
Kappa3,float,597,9.47023,87.2524,-4.9,2.45,3.662,5.328,1512.24,2.478,0,551,0,2.878,17.2021,17.2233,40,-0.0334951,11.1467,3.668,4.38411,3.5465
LabuteASA,float,597,150.968,60.193,11.859,111.932,148.948,182.86,396.572,182.429,0,575,0,70.928,0.712309,4.08027,19,0.00546887,150.78,149.94,151.541,146.597
MaxAbsEStateIndex,float,597,11.4256,2.69719,2.335,10.46,12.126,13.023,17.361,12.341,0,558,0,2.563,-1.12083,3.37041,77,0.0501327,11.3481,12.08,11.6609,12.3755
MaxAbsPartialCharge,float,597,0.444943,0.0992926,0.12,0.382,0.461,0.492,0.875,0.481,0,181,0,0.11,1.4796,4.33121,21,0.107585,0.438815,0.458,0.463534,0.479
MaxEStateIndex,float,597,11.4256,2.69719,2.335,10.46,12.126,13.023,17.361,12.341,0,558,0,2.563,-1.12083,3.37041,77,0.0501327,11.3481,12.08,11.6609,12.3755
MaxPartialCharge,float,597,0.25727,0.108016,-0.085,0.179,0.269,0.328,0.573,0.326,0,247,0,0.149,-0.313875,3.1687,4,0.0648456,0.253252,0.261,0.269459,0.305
MinAbsEStateIndex,float,597,0.241271,0.535628,0,0.038,0.106,0.245,6.578,0.004,0,318,0.00335008,0.207,7.0975,11.8305,58,-0.0628744,0.26059,0.104,0.182662,0.11
MinAbsPartialCharge,float,597,0.253323,0.100741,0.002,0.179,0.265,0.326,0.493,0.326,0,238,0,0.147,-0.441263,2.49475,0,0.0801679,0.24869,0.257,0.267378,0.305
MinEStateIndex,float,597,-1.23591,1.5327,-6.625,-1.53,-0.879,-0.304,4.5,-1.316,0,539,0,1.226,-1.1488,3.74235,81,-0.0302322,-1.20933,-0.826,-1.31655,-0.9865
MinPartialCharge,float,597,-0.440377,0.101839,-0.875,-0.491,-0.459,-0.372,-0.12,-0.481,0,172,0,0.119,-1.39375,4.26774,22,-0.114723,-0.433675,-0.457,-0.460709,-0.4775
MolLogP,float,597,2.29319,2.72054,-9.358,1.048,2.548,4.005,9.868,2.44,0,565,0,2.957,-1.05518,4.28267,28,-0.0266929,2.33485,2.592,2.16681,2.3655
MolMR,float,597,95.7075,38.3239,5.396,72.888,95.758,115.634,255.322,23.325,0,586,0,42.746,0.595818,4.16488,23,0.00710992,95.5512,95.747,96.1817,96.502
MolWt,float,597,365.271,148.644,31.014,266.341,352.471,436.52,980.181,82.106,0,570,0,170.179,0.850737,4.13679,24,-0.00643257,365.82,352.471,363.607,354.926
NHOHCount,integer,597,2.26298,2.19583,0,1,2,3,16,1,0,14,0.175879,2,2.21957,6.25596,24,0.122139,2.10913,2,2.72973,2
NOCount,integer,597,5.9531,3.55935,0,4,5,7,23,4,0,22,0.00335008,3,1.51636,4.78934,51,0.0446583,5.86192,5,6.22973,6
NumAliphaticCarbocycles,integer,597,0.693467,1.29202,0,0,0,1,5,0,0,6,0.701843,1,1.82114,3.33319,81,-0.0890472,0.759465,0,0.493243,0
NumAliphaticHeterocycles,integer,597,0.735343,0.960795,0,0,0,1,7,0,0,8,0.509213,1,1.82577,6.52028,29,-0.0195209,0.746102,0,0.702703,1
NumAliphaticRings,integer,597,1.42881,1.57275,0,0,1,2,8,0,0,9,0.358459,2,1.18592,4.17816,10,-0.0850779,1.50557,1,1.19595,1
NumAromaticCarbocycles,integer,597,0.978224,0.89996,0,0,1,2,4,1,0,5,0.356784,2,0.583274,3.35768,0,0.0829284,0.935412,1,1.10811,1
NumAromaticHeterocycles,integer,597,0.448911,0.734678,0,0,0,1,5,0,0,6,0.670017,1,1.84573,6.19467,7,-0.0551653,0.47216,0,0.378378,0
NumAromaticRings,integer,597,1.42714,1.18015,0,0,1,2,8,1,0,7,0.257956,2,0.734179,5.56952,1,0.0288976,1.40757,1,1.48649,1
NumHAcceptors,integer,597,5.03853,3.16072,0,3,4,6,21,4,0,21,0.00670017,3,1.53713,5.04996,41,0.02002,5.00223,4,5.14865,5
NumHDonors,integer,597,1.98995,1.8437,0,1,2,3,12,1,0,13,0.177554,2,1.88601,5.42933,13,0.102105,1.88196,1,2.31757,2
NumHeteroatoms,integer,597,6.80067,3.79714,1,4,6,9,25,5,0,22,0,5,1.45485,4.79291,11,0.0250515,6.7461,6,6.96622,7
NumRadicalElectrons,constant,597,0,0,0,0,0,0,0,0,0,1,1,0,0,,0,,0,0,0,0
NumRotatableBonds,integer,597,6.0268,4.61788,0,3,5,8,28,2,0,26,0.0435511,5,1.4176,4.75829,24,0.0387027,5.92428,5,6.33784,5
NumSaturatedCarbocycles,integer,597,0.490787,1.01433,0,0,0,0,5,0,0,6,0.757119,0,2.1061,4.44552,145,-0.117266,0.55902,0,0.283784,0
NumSaturatedHeterocycles,integer,597,0.494137,0.801874,0,0,0,1,5,0,0,6,0.648241,1,1.92922,5.61916,21,-0.0103242,0.498886,0,0.47973,0
NumSaturatedRings,integer,597,0.984925,1.29069,0,0,0,2,7,0,0,8,0.504188,2,1.40458,4.66036,4,-0.098571,1.05791,0,0.763514,1
NumValenceElectrons,integer,597,137.122,55.93,12,100,132,166,372,132,0,123,0,66,0.879073,4.19949,20,0.00943395,136.82,132,138.041,133
PEOE_VSA1,float,597,16.6916,12.8766,0,9.8,14.743,20.157,103.54,0,0,246,0.0569514,10.357,2.11217,6.74465,45,0.00547401,16.6512,14.78,16.8143,14.743
PEOE_VSA10,float,597,8.98068,10.2792,0,0,5.918,12.208,97.663,0,0,179,0.306533,12.208,2.58788,8.62737,19,0.0270775,8.82102,5.824,9.46507,6.104
PEOE_VSA11,float,597,4.73812,7.61042,0,0,0,6.104,45.996,0,0,97,0.61474,6.104,1.91849,5.42124,65,-0.0528885,4.96901,0,4.03764,0
PEOE_VSA12,float,597,2.81974,5.17836,0,0,0,5.907,59.072,0,0,53,0.670017,5.907,3.62699,10.863,16,0.133086,2.42441,0,4.01911,0
PEOE_VSA13,float,597,1.56299,3.45017,0,0,0,0,20.236,0,0,30,0.79732,0,2.41036,5.41221,121,-0.000394154,1.56377,0,1.56062,0
PEOE_VSA14,float,597,4.15886,5.63021,0,0,0,5.969,41.596,0,0,58,0.539363,5.969,1.86254,6.64933,24,0.0555191,3.97955,0,4.70286,5.69
PEOE_VSA2,float,597,7.44305,6.89116,0,0,4.9,9.779,47.945,0,0,104,0.259631,9.779,1.46006,5.87738,10,0.136258,6.90441,4.9,9.07717,9.589
PEOE_VSA3,float,597,3.8935,5.23637,0,0,0,4.984,28.819,0,0,72,0.536013,4.984,1.43401,4.76007,58,0.0168817,3.84279,0,4.04734,4.795
PEOE_VSA4,float,597,1.95328,5.09866,0,0,0,0,35.123,0,0,47,0.812395,0,3.43238,6.50558,112,-0.00383356,1.96449,0,1.91926,0
PEOE_VSA5,float,597,2.07775,5.74029,0,0,0,0,69.606,0,0,26,0.840871,0,4.57518,11.7639,95,-0.079458,2.3394,0,1.28397,0
PEOE_VSA6,float,597,24.5271,21.3712,0,6.066,23.734,36.398,128.919,0,0,214,0.204355,30.332,1.07678,4.88471,12,0.0937812,23.3774,19.768,28.015,26.265
PEOE_VSA7,float,597,38.9198,25.6974,0,18.554,37.38,56.593,120.025,0,0,376,0.0871022,38.039,0.42958,3.15617,5,-0.0375739,39.4737,37.256,37.2394,38.3475
PEOE_VSA8,float,597,19.0401,14.6153,0,6.607,16.752,25.18,96.854,0,0,346,0.100503,18.573,1.27621,5.32415,19,-0.107173,19.9387,17.647,16.3142,12.463
PEOE_VSA9,float,597,14.0066,13.0953,0,5.694,11.891,18.901,123.208,0,0,288,0.190955,13.207,1.97293,8.33896,29,-0.050291,14.3844,12.022,12.8604,11.375
RingCount,integer,597,2.85595,1.70452,0,2,3,4,10,3,0,11,0.0887772,2,0.433807,4.19124,6,-0.058493,2.91314,3,2.68243,3
SMR_VSA1,float,597,19.4911,15.346,0,9.589,17.892,24.851,103.54,0,0,247,0.105528,15.262,1.52962,5.47693,28,0.00868846,19.4146,15.32,19.7232,19.025
SMR_VSA10,float,597,18.7496,15.0135,0,6.093,16.947,26.685,91.182,0,0,298,0.113903,20.592,1.5022,4.82449,10,0.0500543,18.3185,13.792,20.0575,17.846
SMR_VSA2,float,597,0.256905,1.32852,0,0,0,0,10.819,0,0,6,0.959799,0,5.68486,7.95025,24,-0.00347144,0.25955,0,0.248878,0
SMR_VSA3,float,597,6.94365,7.58791,0,0,4.984,10.217,42.117,0,0,98,0.336683,10.217,1.51478,4.63545,13,0.0366808,6.78399,4.9,7.42803,5.317
SMR_VSA4,float,597,7.17023,10.2248,0,0,0,11.333,42.904,0,0,58,0.500838,11.333,1.51242,3.49481,61,-0.0585588,7.5137,0,6.12821,5.12
SMR_VSA5,float,597,39.6272,33.4821,0,13.468,31.284,58.232,203.972,0,0,366,0.0820771,44.764,1.40849,4.90844,16,0.0151636,39.3359,31.849,40.5108,28.4805
SMR_VSA6,float,597,15.0785,16.0106,0,5.317,12.364,20.64,110.367,0,0,184,0.227806,15.323,2.06956,5.9516,36,-0.0793811,15.8075,13.09,12.8666,10.842
SMR_VSA7,float,597,39.4336,26.9417,0,22.878,35.895,58.913,144.848,0,0,296,0.135678,36.035,0.48874,3.91269,4,0.0419101,38.7859,35.392,41.3987,35.895
SMR_VSA8,constant,597,0,0,0,0,0,0,0,0,0,1,1,0,0,,0,,0,0,0,0
SMR_VSA9,float,597,4.06247,7.15262,0,0,0,5.75,67.506,0,0,40,0.626466,5.75,3.09561,8.86997,39,-0.0857754,4.41442,0,2.99476,0
SlogP_VSA1,float,597,7.12643,7.37483,0,0,5.317,10.634,54.419,0,0,110,0.314908,10.634,1.53746,6.4127,10,0.0939145,6.72912,5.107,8.33178,5.734
SlogP_VSA10,float,597,3.69156,6.07658,0,0,0,5.687,35.123,0,0,53,0.613065,5.687,2.137,5.17255,40,0.151926,3.16198,0,5.29821,0
SlogP_VSA11,float,597,2.61262,5.3433,0,0,0,5.75,45.996,0,0,14,0.721943,5.75,3.24055,8.11921,17,-0.0552558,2.78198,0,2.09879,0
SlogP_VSA12,float,597,5.53519,10.6017,0,0,0,11.601,69.606,0,0,39,0.680067,11.601,3.03784,6.04342,18,-0.0741779,5.98631,0,4.16657,0
SlogP_VSA2,float,597,42.9099,29.4906,0,22.667,36.69,54.037,232.67,9.968,0,525,0.00167504,31.37,1.79151,6.4346,33,-0.0143242,43.1522,36.928,42.1747,36.459
SlogP_VSA3,float,597,12.8304,10.845,0,4.795,11.215,18.947,72.539,0,0,185,0.164154,14.152,1.54678,5.50562,17,0.0334552,12.6223,11.215,13.4618,11.215
SlogP_VSA4,float,597,8.04541,10.5501,0,0,5.817,11.836,41.43,0,0,73,0.482412,11.836,1.33517,3.16439,28,-0.0750763,8.49977,5.817,6.66697,0
SlogP_VSA5,float,597,32.9844,25.7583,0,12.487,28.297,46.957,136.849,0,0,307,0.0887772,34.47,1.01646,4.03227,12,-0.0247308,33.3499,29.769,31.8758,24.49
SlogP_VSA6,float,597,30.8668,22.1228,0,15.916,29.258,47.36,133.46,0,0,205,0.147404,31.444,0.650751,4.63744,5,0.0753833,29.9101,24.304,33.7691,30.332
SlogP_VSA7,float,597,0.807405,2.55753,0,0,0,0,20.091,0,0,8,0.886097,0,3.91418,7.53992,68,-0.0132572,0.826855,0,0.748399,0
SlogP_VSA8,float,597,3.4032,7.32093,0,0,0,5.573,77.608,0,0,56,0.748744,5.573,3.53784,10.136,42,-0.0501473,3.6138,0,2.76428,0
SlogP_VSA9,constant,597,0,0,0,0,0,0,0,0,0,1,1,0,0,,0,,0,0,0,0
TPSA,float,597,86.8852,56.4044,0,49.41,76.38,106.94,376.67,46.53,0,428,0.00502513,57.53,1.59236,5.13762,29,0.0713142,84.5778,74.6,93.8855,89.01
VSA_EState1,constant,597,0,0,0,0,0,0,0,0,0,1,1,0,0,,0,,0,0,0,0
VSA_EState10,float,597,1.17659,4.12896,-21.832,0,0,0,35.287,0,0,187,0.680067,0,2.18136,8.26126,191,-0.0382778,1.26725,0,0.901534,0
VSA_EState2,constant,597,0,0,0,0,0,0,0,0,0,1,1,0,0,,0,,0,0,0,0
VSA_EState3,constant,597,0,0,0,0,0,0,0,0,0,1,1,0,0,,0,,0,0,0,0
VSA_EState4,constant,597,0,0,0,0,0,0,0,0,0,1,1,0,0,,0,,0,0,0,0
VSA_EState5,constant,597,0,0,0,0,0,0,0,0,0,1,1,0,0,,0,,0,0,0,0
VSA_EState6,constant,597,0,0,0,0,0,0,0,0,0,1,1,0,0,,0,,0,0,0,0
VSA_EState7,constant,597,0,0,0,0,0,0,0,0,0,1,1,0,0,,0,,0,0,0,0
VSA_EState8,float,597,7.5258,16.0253,0,0,0,5.616,141.52,0,0,230,0.61139,5.616,3.35074,8.36142,123,-0.0289294,7.79174,0,6.71899,0
VSA_EState9,float,597,54.4428,26.1051,-19.781,38.003,50.701,66.417,182.777,49.5,0,550,0,28.414,0.999759,4.91606,29,0.0648976,53.4709,50.701,57.3911,50.862
fr_Al_COO,integer,597,0.239531,0.60305,0,0,0,0,5,0,0,5,0.820771,0,3.52374,7.89398,107,0.067918,0.216036,0,0.310811,0
fr_Al_OH,integer,597,0.695142,1.28656,0,0,0,1,11,0,0,10,0.638191,1,2.95912,8.00964,51,-0.0177475,0.708241,0,0.655405,0
fr_Al_OH_noTert,integer,597,0.571189,1.19438,0,0,0,1,11,0,0,9,0.705193,1,3.37008,8.73155,38,-0.0147449,0.581292,0,0.540541,0
fr_ArN,integer,597,0.0753769,0.305454,0,0,0,0,2,0,0,3,0.936348,0,4.38127,6.30086,38,0.150547,0.0489978,0,0.155405,0
fr_Ar_COO,integer,597,0.0318258,0.193845,0,0,0,0,2,0,0,3,0.971524,0,6.66619,10.1533,17,0.00580399,0.0311804,0,0.0337838,0
fr_Ar_N,integer,597,0.623116,1.19437,0,0,0,1,6,0,0,7,0.705193,1,2.21159,4.50187,51,-0.0494787,0.657016,0,0.52027,0
fr_Ar_NH,integer,597,0.0871022,0.326335,0,0,0,0,2,0,0,3,0.926298,0,4.02165,5.86176,44,-0.0462936,0.0957684,0,0.0608108,0
fr_Ar_OH,integer,597,0.132328,0.449732,0,0,0,0,4,0,0,4,0.901173,0,4.32638,8.59996,59,0.020852,0.126949,0,0.148649,0
fr_COO,integer,597,0.271357,0.634627,0,0,0,0,5,0,0,6,0.79732,0,3.25809,7.45105,121,0.0663114,0.247216,0,0.344595,0
fr_COO2,integer,597,0.276382,0.639049,0,0,0,0,5,0,0,6,0.79397,0,3.20332,7.39163,123,0.0613342,0.253898,0,0.344595,0
fr_C_O,integer,597,1.21776,1.25832,0,0,1,2,10,0,0,8,0.348409,2,1.42912,6.97933,4,0.128886,1.12472,1,1.5,1
fr_C_O_noCOO,integer,597,1.01005,1.20537,0,0,1,2,10,0,0,8,0.432161,2,1.80902,7.45824,4,0.0757337,0.957684,1,1.16892,1
fr_C_S,binary_0_1,597,0.00335008,0.0578313,0,0,0,0,1,0,0,2,0.99665,0,17.2335,17.2337,2,-0.0332862,0.00445434,0,0,0
fr_HOCCN,integer,597,0.0251256,0.167006,0,0,0,0,2,0,0,3,0.976549,0,7.13353,11.8251,14,0.00654202,0.0244989,0,0.027027,0
fr_Imine,integer,597,0.0653266,0.307764,0,0,0,0,4,0,0,4,0.946399,0,6.45482,12.7847,32,-0.0841221,0.0801782,0,0.0202703,0
fr_NH0,integer,597,1.25293,1.39799,0,0,1,2,7,0,0,8,0.378559,2,1.29118,4.11095,7,-0.017868,1.26726,1,1.20946,1
fr_NH1,integer,597,0.571189,0.817412,0,0,0,1,7,0,0,7,0.579564,1,2.1927,7.86484,9,0.106698,0.521158,0,0.722973,1
fr_NH2,integer,597,0.278057,0.647456,0,0,0,0,5,0,0,6,0.792295,0,3.2673,7.29307,124,0.119017,0.233853,0,0.412162,0
fr_N_O,integer,597,0.0201005,0.277086,0,0,0,0,6,0,0,4,0.991625,0,18.2988,21.5814,5,0.0563995,0.0111359,0,0.0472973,0
fr_Ndealkylation1,integer,597,0.134003,0.355399,0,0,0,0,2,0,0,3,0.871022,0,2.48644,5.25043,77,0.00182987,0.13363,0,0.135135,0
fr_Ndealkylation2,integer,597,0.117253,0.327161,0,0,0,0,2,0,0,3,0.884422,0,2.52871,5.75481,69,0.00767294,0.115813,0,0.121622,0
fr_Nhpyrrole,integer,597,0.0871022,0.326335,0,0,0,0,2,0,0,3,0.926298,0,4.02165,5.86176,44,-0.0462936,0.0957684,0,0.0608108,0
fr_SH,binary_0_1,597,0.00837521,0.0912086,0,0,0,0,1,0,0,2,0.991625,0,10.8165,10.8721,5,0.032371,0.00668151,0,0.0135135,0
fr_aldehyde,integer,597,0.00670017,0.100111,0,0,0,0,2,0,0,3,0.994975,0,16.5774,19.911,3,0.000324807,0.00668151,0,0.00675676,0
fr_alkyl_carbamate,integer,597,0.0167504,0.152345,0,0,0,0,2,0,0,3,0.9866,0,10.1427,13.0182,8,0.0642458,0.0111359,0,0.0337838,0
fr_alkyl_halide,integer,597,0.256281,0.915736,0,0,0,0,8,0,0,8,0.896147,0,4.65358,8.45628,62,-0.0590582,0.287305,0,0.162162,0
fr_allylic_oxid,integer,597,0.423786,1.18561,0,0,0,0,12,0,0,8,0.849246,0,3.66121,9.76392,90,-0.100599,0.492205,0,0.216216,0
fr_amide,integer,597,0.497487,0.94589,0,0,0,1,10,0,0,8,0.680067,1,3.44467,10.0461,24,0.145187,0.418708,0,0.736486,0
fr_amidine,integer,597,0.0117253,0.122323,0,0,0,0,2,0,0,3,0.98995,0,11.6677,16.2543,6,-0.0233395,0.013363,0,0.00675676,0
fr_aniline,integer,597,0.355109,0.673961,0,0,0,1,4,0,0,5,0.742044,1,1.9735,5.40817,7,0.215703,0.271715,0,0.608108,0
fr_aryl_methyl,integer,597,0.261307,0.636206,0,0,0,0,7,0,0,6,0.80737,0,3.98948,10.592,115,0.0141984,0.256125,0,0.277027,0
fr_azide,constant,597,0,0,0,0,0,0,0,0,0,1,1,0,0,,0,,0,0,0,0
fr_azo,binary_0_1,597,0.00167504,0.0409273,0,0,0,0,1,0,0,2,0.998325,0,24.4336,24.3927,1,0.0713459,0,0,0.00675676,0
fr_barbitur,constant,597,0,0,0,0,0,0,0,0,0,1,1,0,0,,0,,0,0,0,0
fr_benzene,integer,597,0.978224,0.89996,0,0,1,2,4,1,0,5,0.356784,2,0.583274,3.35768,0,0.0829284,0.935412,1,1.10811,1
fr_benzodiazepine,binary_0_1,597,0.0100503,0.0998295,0,0,0,0,1,0,0,2,0.98995,0,9.84872,9.9164,6,-0.0578482,0.013363,0,0,0
fr_bicyclic,integer,597,1.22111,1.85227,0,0,0,2,11,0,0,11,0.515913,2,1.84992,5.27942,21,-0.0895518,1.31626,0,0.932432,1
fr_diazo,constant,597,0,0,0,0,0,0,0,0,0,1,1,0,0,,0,,0,0,0,0
fr_dihydropyridine,binary_0_1,597,0.0134003,0.115078,0,0,0,0,1,0,0,2,0.9866,0,8.48529,8.57331,8,-0.0669106,0.0178174,0,0,0
fr_epoxide,binary_0_1,597,0.0100503,0.0998295,0,0,0,0,1,0,0,2,0.98995,0,9.84872,9.9164,6,-0.0578482,0.013363,0,0,0
fr_ester,integer,597,0.211055,0.539399,0,0,0,0,4,0,0,5,0.837521,0,3.07429,7.02438,97,0.0198934,0.2049,0,0.22973,0
fr_ether,integer,597,0.872697,1.42151,0,0,0,1,10,0,0,11,0.534338,1,3.03547,6.42087,51,-0.0741783,0.933185,0,0.689189,0
fr_furan,binary_0_1,597,0.0150754,0.121955,0,0,0,0,1,0,0,2,0.984925,0,7.97925,8.07613,9,-0.00735894,0.0155902,0,0.0135135,0
fr_guanido,integer,597,0.041876,0.277673,0,0,0,0,4,0,0,4,0.971524,0,8.58547,14.2546,17,-0.0586925,0.0512249,0,0.0135135,0
fr_halogen,integer,597,0.537688,1.09942,0,0,0,1,8,0,0,9,0.713568,1,2.88348,6.78749,39,-0.0550116,0.572383,0,0.432432,0
fr_hdrzine,binary_0_1,597,0.0184255,0.134597,0,0,0,0,1,0,0,2,0.981575,0,7.17986,7.2927,11,0.123257,0.00890869,0,0.0472973,0
fr_hdrzone,binary_0_1,597,0.00335008,0.0578313,0,0,0,0,1,0,0,2,0.99665,0,17.2335,17.2337,2,0.0338485,0.00222717,0,0.00675676,0
fr_imidazole,integer,597,0.0653266,0.254002,0,0,0,0,2,0,0,3,0.936348,0,3.8316,7.61675,38,-0.0560715,0.0734967,0,0.0405405,0
fr_imide,integer,597,0.0234506,0.162157,0,0,0,0,2,0,0,3,0.978224,0,7.45819,12.1891,13,0.0605589,0.0178174,0,0.0405405,0
fr_isocyan,constant,597,0,0,0,0,0,0,0,0,0,1,1,0,0,,0,,0,0,0,0
fr_isothiocyan,constant,597,0,0,0,0,0,0,0,0,0,1,1,0,0,,0,,0,0,0,0
fr_ketone,integer,597,0.237856,0.605102,0,0,0,0,3,0,0,4,0.844221,0,2.61576,4.56476,93,-0.014133,0.242762,0,0.222973,0
fr_ketone_Topliss,integer,597,0.159129,0.444736,0,0,0,0,3,0,0,4,0.867672,0,3.22135,6.38777,79,0.0475683,0.146993,0,0.195946,0
fr_lactam,binary_0_1,597,0.0217755,0.146072,0,0,0,0,1,0,0,2,0.978224,0,6.56979,6.69685,13,-0.00592133,0.0222717,0,0.0202703,0
fr_lactone,binary_0_1,597,0.0318258,0.175683,0,0,0,0,1,0,0,2,0.968174,0,5.34767,5.51091,19,0.0727021,0.0244989,0,0.0540541,0
